  # slat   slon
  43.000  -86.000
  43.000  -84.000
  43.000  -82.000
  43.000  -80.000
  43.000  -78.000
  43.000  -76.000
  43.000  -74.000
  43.000  -72.000
  43.000  -70.000
  43.000  -68.000
  43.000  -66.000
  45.000 -130.000
  45.000 -128.000
  45.000 -126.000
  45.000 -124.000
  45.000 -122.000
  45.000 -120.000
  45.000 -118.000
  45.000 -116.000
  45.000 -114.000
  45.000 -112.000
  45.000 -110.000
  45.000 -108.000
  45.000 -106.000
  45.000 -104.000
  45.000 -102.000
  45.000 -100.000
  45.000  -98.000
  45.000  -96.000
  45.000  -94.000
  45.000  -92.000
  45.000  -90.000
  45.000  -88.000
  45.000  -86.000
  45.000  -84.000
  45.000  -82.000
  45.000  -80.000
  45.000  -78.000
  45.000  -76.000
  45.000  -74.000
  45.000  -72.000
  45.000  -70.000
  45.000  -68.000
  45.000  -66.000
  47.000 -130.000
  47.000 -128.000
  47.000 -126.000
  47.000 -124.000
  47.000 -122.000
  47.000 -120.000
  47.000 -118.000
  47.000 -116.000
  47.000 -114.000
  47.000 -112.000
  47.000 -110.000
  47.000 -108.000
  47.000 -106.000
  47.000 -104.000
  47.000 -102.000
  47.000 -100.000
  47.000  -98.000
  47.000  -96.000
  47.000  -94.000
  47.000  -92.000
  47.000  -90.000
  47.000  -88.000
  47.000  -86.000
  47.000  -84.000
  47.000  -82.000
  47.000  -80.000
  47.000  -78.000
  47.000  -76.000
  47.000  -74.000
  47.000  -72.000
  47.000  -70.000
  47.000  -68.000
  47.000  -66.000
  49.000 -130.000
  49.000 -128.000
  49.000 -126.000
  49.000 -124.000
  49.000 -122.000
  49.000 -120.000
  49.000 -118.000
  49.000 -116.000
  49.000 -114.000
  49.000 -112.000
  49.000 -110.000
  49.000 -108.000
  49.000 -106.000
  49.000 -104.000
  49.000 -102.000
  49.000 -100.000
  49.000  -98.000
  49.000  -96.000
  49.000  -94.000
  49.000  -92.000
  49.000  -90.000
  49.000  -88.000
  49.000  -86.000
  49.000  -84.000
  49.000  -82.000
  49.000  -80.000
  49.000  -78.000
  49.000  -76.000
  49.000  -74.000
  49.000  -72.000
  49.000  -70.000
  49.000  -68.000
  49.000  -66.000
  51.000 -130.000
  51.000 -128.000
  51.000 -126.000
  51.000 -124.000
  51.000 -122.000
  51.000 -120.000
  51.000 -118.000
  51.000 -116.000
  51.000 -114.000
  51.000 -112.000
  51.000 -110.000
  51.000 -108.000
  51.000 -106.000
  51.000 -104.000
  51.000 -102.000
  51.000 -100.000
  51.000  -98.000
  51.000  -96.000
  51.000  -94.000
  51.000  -92.000
  51.000  -90.000
  51.000  -88.000
  51.000  -86.000
  51.000  -84.000
  51.000  -82.000
  51.000  -80.000
  51.000  -78.000
  51.000  -76.000
  51.000  -74.000
  51.000  -72.000
  51.000  -70.000
  51.000  -68.000
  51.000  -66.000
