-123.000   42.000  0.00264 14
-123.000   43.000  0.00137 17
-123.000   44.000 -0.00051 14
-123.000   45.000 -0.00062 18
-123.000   46.000 -0.00041 15
-123.000   47.000  0.00129 18
-123.000   48.000  0.00296 15
-123.000   49.000  0.00456 17
-123.000   50.000  0.00504 12
-122.000   25.000  0.00678 18
-122.000   26.000  0.00735 19
-122.000   27.000  0.00715 20
-122.000   28.000  0.00760 19
-122.000   29.000  0.00643 21
-122.000   30.000  0.00597 19
-122.000   31.000  0.00499 21
-122.000   32.000  0.00407 18
-122.000   33.000  0.00277 21
-122.000   34.000  0.00191 18
-122.000   35.000  0.00163 21
-122.000   36.000  0.00120 16
-122.000   37.000  0.00149 19
-122.000   38.000  0.00248 14
-122.000   39.000  0.00385 18
-122.000   40.000  0.00365 14
-122.000   41.000  0.00329 16
-122.000   42.000  0.00171 13
-122.000   43.000  0.00003 14
-122.000   44.000 -0.00208 16
-122.000   45.000 -0.00194 17
-122.000   46.000 -0.00132 19
-122.000   47.000  0.00079 18
-122.000   48.000  0.00256 21
-122.000   49.000  0.00433 18
-122.000   50.000  0.00477 16
-121.000   25.000  0.00483 15
-121.000   26.000  0.00548 18
-121.000   27.000  0.00554 17
-121.000   28.000  0.00626 19
-121.000   29.000  0.00558 18
-121.000   30.000  0.00540 20
-121.000   31.000  0.00442 20
-121.000   32.000  0.00335 21
-121.000   33.000  0.00179 21
-121.000   34.000  0.00073 21
-121.000   35.000  0.00050 21
-121.000   36.000  0.00026 17
-121.000   37.000  0.00087 17
-121.000   38.000  0.00200 14
-121.000   39.000  0.00339 17
-121.000   40.000  0.00292 14
-121.000   41.000  0.00244 17
-121.000   42.000  0.00099 13
-121.000   43.000 -0.00053 16
-121.000   44.000 -0.00227 14
-121.000   45.000 -0.00169 19
-121.000   46.000 -0.00075 15
-121.000   47.000  0.00110 18
-121.000   48.000  0.00240 15
-121.000   49.000  0.00395 19
-121.000   50.000  0.00421 13
-120.000   25.000  0.00533 19
-120.000   26.000  0.00557 22
-120.000   27.000  0.00546 23
-120.000   28.000  0.00581 22
-120.000   29.000  0.00515 22
-120.000   30.000  0.00497 20
-120.000   31.000  0.00411 21
-120.000   32.000  0.00333 18
-120.000   33.000  0.00197 21
-120.000   34.000  0.00102 18
-120.000   35.000  0.00070 21
-120.000   36.000  0.00043 16
-120.000   37.000  0.00087 19
-120.000   38.000  0.00179 15
-120.000   39.000  0.00287 20
-120.000   40.000  0.00226 15
-120.000   41.000  0.00176 17
-120.000   42.000  0.00050 12
-120.000   43.000 -0.00105 14
-120.000   44.000 -0.00259 14
-120.000   45.000 -0.00196 17
-120.000   46.000 -0.00111 17
-120.000   47.000  0.00031 18
-120.000   48.000  0.00119 21
-120.000   49.000  0.00251 21
-120.000   50.000  0.00268 18
-119.000   25.000  0.00532 16
-119.000   26.000  0.00532 20
-119.000   27.000  0.00519 19
-119.000   28.000  0.00539 21
-119.000   29.000  0.00501 19
-119.000   30.000  0.00469 21
-119.000   31.000  0.00401 19
-119.000   32.000  0.00316 20
-119.000   33.000  0.00189 19
-119.000   34.000  0.00096 20
-119.000   35.000  0.00089 20
-119.000   36.000  0.00078 18
-119.000   37.000  0.00130 17
-119.000   38.000  0.00206 15
-119.000   39.000  0.00281 17
-119.000   40.000  0.00213 14
-119.000   41.000  0.00159 16
-119.000   42.000  0.00091 12
-119.000   43.000 -0.00022 16
-119.000   44.000 -0.00112 12
-119.000   45.000 -0.00070 18
-119.000   46.000 -0.00021 14
-119.000   47.000  0.00016 19
-119.000   48.000  0.00016 16
-119.000   49.000  0.00066 20
-119.000   50.000  0.00046 14
-118.000   25.000  0.00532 19
-118.000   26.000  0.00506 23
-118.000   27.000  0.00490 25
-118.000   28.000  0.00491 26
-118.000   29.000  0.00474 25
-118.000   30.000  0.00442 23
-118.000   31.000  0.00395 21
-118.000   32.000  0.00332 19
-118.000   33.000  0.00243 21
-118.000   34.000  0.00194 19
-118.000   35.000  0.00221 21
-118.000   36.000  0.00243 17
-118.000   37.000  0.00294 20
-118.000   38.000  0.00342 16
-118.000   39.000  0.00353 21
-118.000   40.000  0.00273 16
-118.000   41.000  0.00187 19
-118.000   42.000  0.00116 13
-118.000   43.000 -0.00012 16
-118.000   44.000 -0.00075 12
-118.000   45.000 -0.00089 16
-118.000   46.000 -0.00078 15
